,Unnamed: 0,Lon,Lat,Day,E
0,0,25.027867,60.328104,6,0.37499999999999944
1,1,27.188846,60.566709,6,0.0
2,2,24.981165,60.395906,6,0.9000000000000001
3,3,24.670381,60.146465,4,0.7499999999999998
4,4,25.520157,61.181398,4,0.0
5,5,24.938555,60.166954,4,0.2093023255813947
6,6,24.894536,60.200127,4,0.2093023255813947
7,7,25.113063,60.481053,4,0.9000000000000001
8,8,24.899257,60.211823,4,0.9000000000000001
9,9,25.042438,60.174424,4,0.2093023255813947
10,10,24.464741,60.995273,4,0.0
11,11,25.723591,60.357167,4,0.0
12,12,25.536506,62.017592,4,0.0
13,13,24.917846,60.183424,4,0.5999999999999994
14,14,24.703502,60.157437,4,0.5999999999999994
15,15,24.370074,60.301592,4,0.0
16,16,24.82477,60.182768,4,0.2093023255813947
17,17,24.412461,60.084989,4,0.0
18,18,24.924613,60.17767,4,0.2307692307692304
19,19,24.097539,60.247482,4,0.36000000000000004
20,20,24.901516,60.211183,4,0.36000000000000004
21,21,25.007429,60.227171,4,0.7499999999999998
22,22,24.061311,60.043911,4,0.0
23,23,25.089831,60.457594,4,0.0
24,24,24.77801,60.258143,4,0.5999999999999994
25,25,27.525622,65.379652,4,0.0
26,26,25.151479,61.909882,4,0.0
27,27,25.110944,60.402767,4,0.5625
28,28,24.958282,60.185869,4,0.5625
29,29,24.720406,60.362746,4,0.0502793296089381
30,30,24.881627,60.233397,4,0.0502793296089381
31,31,25.343986,65.180082,4,0.0
32,32,26.04113,61.219362,4,0.0
33,33,25.537688,62.024814,1,0.0
34,34,24.795081,60.208854,1,0.1363636363636359
35,35,22.720293,60.167887,1,0.0
36,36,24.687882,60.199035,1,0.2727272727272727
37,37,24.910166,60.154215,6,0.7499999999999998
38,38,22.175053,61.294993,6,0.0
39,39,24.378811,61.063247,6,0.0
40,40,23.988926,60.540769,6,0.0
41,41,24.92493,60.196453,4,0.1475409836065572
42,42,24.956193,60.264919,4,0.1475409836065572
43,43,24.924834,60.179336,4,0.9000000000000001
44,44,22.450497,60.073355,4,0.0
45,45,24.771634,60.173794,4,0.06976744186046491
46,46,22.245892,60.438433,4,0.0
47,47,24.930501,60.169576,4,0.290322580645161
48,48,24.747631,60.221476,4,0.290322580645161
49,49,25.075495,60.3302,4,0.34615384615384565
50,50,24.902883,60.203132,4,0.34615384615384565
51,51,24.936786,60.208009,4,0.1199999999999997
