Lon,Lat,Day,E
26.674522,60.871019,6,0.0
24.976213,60.19186,6,0.041666666666666664
21.82768,61.502983,6,0.0
24.848679,60.270063,6,0.1
24.671352,60.149797,4,0.08333333333333333
25.142833,60.355467,4,0.08333333333333333
24.936981,60.159472,4,0.023255813953488372
24.896113,60.20452,4,0.023255813953488372
24.696444,60.202362,4,0.1
24.886712,60.213094,4,0.1
25.051418,60.184846,4,0.023255813953488372
24.925533,60.181531,4,0.023255813953488372
25.702497,60.327073,4,0.041666666666666664
24.790714,60.187613,4,0.041666666666666664
24.913851,60.177467,4,0.06666666666666667
24.702857,60.1549,4,0.06666666666666667
24.631778,60.168254,4,0.023255813953488372
25.08588,60.469974,4,0.023255813953488372
24.411397,60.085489,4,0.02564102564102564
24.927244,60.1801,4,0.02564102564102564
24.947518,60.158845,4,0.04
24.904671,60.209995,4,0.04
25.024082,60.222394,4,0.08333333333333333
26.056043,61.240494,4,0.0
25.083391,60.471191,4,0.06666666666666667
24.80084,60.245704,4,0.06666666666666667
25.679557,60.276406,4,0.011235955056179775
25.046201,62.408118,4,0.0
24.606565,65.807231,4,0.0
24.955604,60.185204,4,0.0625
24.777024,60.247875,4,0.00558659217877095
24.87871,60.230937,4,0.00558659217877095
27.054501,60.657717,4,0.0
25.00573,60.938417,4,0.0
24.763216,60.191477,1,0.015151515151515152
24.82039,60.207499,1,0.015151515151515152
24.511134,60.139647,1,0.030303030303030304
24.665729,60.197047,1,0.030303030303030304
24.909114,60.155558,6,0.08333333333333333
25.026408,60.378954,6,0.08333333333333333
23.646939,62.591901,6,0.0
21.773679,61.242533,6,0.0
24.92872,60.219652,4,0.01639344262295082
24.954811,60.274314,4,0.01639344262295082
24.917846,60.183424,4,0.1
24.074861,60.102902,4,0.1
24.75019,60.171988,4,0.007751937984496124
24.938135,60.157257,4,0.007751937984496124
25.805568,62.23119,4,0.0
29.842375,62.767649,4,0.0
24.507345,61.14824,4,0.0
24.902942,60.198631,4,0.038461538461538464
23.839573,64.113625,4,0.0
24.880057,60.216922,4,0.013333333333333334
24.6823,60.14672,4,0.00909090909090909
24.873576,60.214158,4,0.00909090909090909
25.078334,60.328913,4,0.0070921985815602835
22.474608,60.518293,4,0.0
24.268088,60.524279,4,0.024390243902439025
24.927753,60.197736,4,0.024390243902439025
25.084052,60.421416,6,0.09090909090909091
24.883829,60.232863,6,0.09090909090909091
24.750883,60.816759,6,0.0
25.050028,60.298973,6,0.029411764705882353
25.030072,60.195085,6,0.1
24.201617,60.289349,6,0.1
24.884322,60.232529,6,0.07142857142857142
24.440529,61.018767,6,0.0
24.206187,60.432222,6,0.05
24.432198,61.015092,6,0.0
25.05542,60.210781,6,0.034482758620689655
24.988957,60.264906,6,0.034482758620689655
24.948332,60.174242,6,0.006369426751592357
22.567185,60.643773,6,0.0
24.735681,60.185819,6,0.02631578947368421
24.950285,60.167458,6,0.02631578947368421
25.035744,60.19951,6,0.1
25.128626,60.220869,6,0.1
23.732238,62.606275,6,0.0
22.478394,60.417843,6,0.0
24.829624,60.174056,6,0.037037037037037035
23.527036,60.809084,6,0.0
24.775835,60.16201,6,0.09090909090909091
24.962287,60.202951,6,0.09090909090909091
24.652528,60.179021,6,0.0136986301369863
22.721595,63.657685,6,0.0
24.850106,60.237881,6,0.037037037037037035
24.269695,61.327966,6,0.0
24.944338,60.236595,6,0.03333333333333333
24.860583,60.252592,6,0.03333333333333333
25.27138,60.376985,6,0.047619047619047616
27.456944,66.924728,6,0.0
25.136526,60.214863,6,0.04
23.688304,60.067463,6,0.04
24.779615,60.252538,6,0.05555555555555555
25.027913,60.190607,6,0.05555555555555555
24.981953,60.282094,6,0.00014150275930380644
24.986501,60.288315,6,0.00014150275930380644
28.758726,61.162092,6,0.0
29.830244,62.61256,6,0.0
24.95649,60.169093,3,0.0196078431372549
25.536807,64.966847,3,0.0
23.303491,60.048851,5,0.05
24.810997,60.21324,5,0.05
24.323962,60.401814,5,0.006134969325153374
24.510599,60.311643,5,0.006134969325153374
24.881627,60.233397,5,0.03225806451612903
23.747824,61.228213,5,0.0
24.816356,60.187201,5,0.006578947368421052
24.910602,60.188652,5,0.006578947368421052
23.855204,63.086567,5,0.0
24.800704,60.269794,5,0.013157894736842105
24.628426,60.354179,5,0.07692307692307693
24.856003,60.260824,5,0.07692307692307693
